https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1711324800000,2024-03-25 00:00:00,BTC/UST,67212,67295,66530,66564,774988.65400824,11.64275966
1711238400000,2024-03-24 00:00:00,BTC/UST,64016,67610,63772,67203,63868236.77059938,950.37776246
1711152000000,2024-03-23 00:00:00,BTC/UST,63808,65989,63009,64024,38556618.54652296,602.22133179
1711065600000,2024-03-22 00:00:00,BTC/UST,65503,66633,62306,63801,66941123.38174538,1049.21746339
1710979200000,2024-03-21 00:00:00,BTC/UST,67847,68214,64568,65511,94070597.52958749,1435.95117659
1710892800000,2024-03-20 00:00:00,BTC/UST,61936,68080,60803,67841,92088742.7638009,1357.4201849
1710806400000,2024-03-19 00:00:00,BTC/UST,67592,68120,61644,61936,117027277.004988,1889.48716425
1710720000000,2024-03-18 00:00:00,BTC/UST,68425,68938,66567,67614,36392498.57298558,538.23910097
1710633600000,2024-03-17 00:00:00,BTC/UST,65283,68893,64592,68435,47647088.708708204,696.23860172
1710547200000,2024-03-16 00:00:00,BTC/UST,69500,70034,64847,65312,56134890.850912645,859.48816222
1710460800000,2024-03-15 00:00:00,BTC/UST,71400,72408,65650,69498,104663515.37120622,1505.99319939
1710374400000,2024-03-14 00:00:00,BTC/UST,73051,73783,68632,71386,47026395.10117276,658.76215366
1710288000000,2024-03-13 00:00:00,BTC/UST,71382,73583,71291,73026,38747354.7639033,530.59670205
1710201600000,2024-03-12 00:00:00,BTC/UST,72076,73073,68643,71384,185779320.4187401,2602.53446737
1710115200000,2024-03-11 00:00:00,BTC/UST,68964,72758,67056,72085,89234185.25333196,1237.9022716700001
1710028800000,2024-03-10 00:00:00,BTC/UST,68310,69866,68123,68964,30351648.028363198,440.1085788
1709942400000,2024-03-09 00:00:00,BTC/UST,68136,68573,67890,68315,31537513.442295898,461.64844386
1709856000000,2024-03-08 00:00:00,BTC/UST,66813,70000,66103,68126,49358342.03193648,724.51548648
1709769600000,2024-03-07 00:00:00,BTC/UST,66058,67965,65580,66816,22519295.35865856,337.03447316
1709683200000,2024-03-06 00:00:00,BTC/UST,63714,67621,62797,66048,49758058.65785856,753.36207997
1709596800000,2024-03-05 00:00:00,BTC/UST,68224,69043,59137,63743,124084896.04936272,1946.64349104
1709510400000,2024-03-04 00:00:00,BTC/UST,63112,68323,62317,68223,67927068.97623867,995.66229829
1709424000000,2024-03-03 00:00:00,BTC/UST,61964,63219,61344,63114,13074493.95079404,207.15679486
1709337600000,2024-03-02 00:00:00,BTC/UST,62373,62417,61571,61984,14071534.7930144,227.0188241
1709251200000,2024-03-01 00:00:00,BTC/UST,61133,63082,60786,62372,25685414.435211357,411.81001788
1709164800000,2024-02-29 00:00:00,BTC/UST,62425,63616,60386,61150,101898001.5405055,1666.36143157
1709078400000,2024-02-28 00:00:00,BTC/UST,57054,63949,56710,62429,188482996.4334926,3019.15770609
1708992000000,2024-02-27 00:00:00,BTC/UST,54478,57552,54449,57049,87427588.94356534,1532.49993766
1708905600000,2024-02-26 00:00:00,BTC/UST,51726,54834,50913,54482,59498293.571798295,1092.07249315
1708819200000,2024-02-25 00:00:00,BTC/UST,51573,51969,51294,51727,4670677.04948546,90.29475998
1708732800000,2024-02-24 00:00:00,BTC/UST,50739,51705,50588,51573,4030985.18182362,78.16076594
1708646400000,2024-02-23 00:00:00,BTC/UST,51301,51533,50533,50734,7102277.674906041,139.99049306
1708560000000,2024-02-22 00:00:00,BTC/UST,51855,52061,50946,51309,11910011.209306382,232.12323782
1708473600000,2024-02-21 00:00:00,BTC/UST,52271,52356,50610,51845,15470112.660645701,298.39160306
1708387200000,2024-02-20 00:00:00,BTC/UST,51772,52986,50765,52276,30359935.96105988,580.76241413
1708300800000,2024-02-19 00:00:00,BTC/UST,52125,52485,51694,51776,8414328.43188416,162.51406891
1708214400000,2024-02-18 00:00:00,BTC/UST,51650,52398,51179,52112,4252438.5827952,81.6019071
1708128000000,2024-02-17 00:00:00,BTC/UST,52129,52156,50635,51641,8831857.51097441,171.02413801
1708041600000,2024-02-16 00:00:00,BTC/UST,51880,52564,51587,52129,16642893.28399159,319.26362071
1707955200000,2024-02-15 00:00:00,BTC/UST,51783,52813,51257,51890,26278634.1275312,506.42964208
1707868800000,2024-02-14 00:00:00,BTC/UST,49702,52029,49236,51776,17788280.82207936,343.56228411
