https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1711314000,2024-03-24 21:00:00,DOGE/USD,0.178,0.178,0.178,0.178,3570.199858,635.495574724
1711296000,2024-03-24 16:00:00,DOGE/USD,0.175,0.175,0.175,0.175,3223.879958,564.1789926499999
1711245600,2024-03-24 02:00:00,DOGE/USD,0.1682,0.1682,0.1682,0.1682,2031.204399,341.64857991179997
1711238400,2024-03-24 00:00:00,DOGE/USD,0.16666,0.16666,0.16666,0.16666,10000.0,1666.6000000000001
1711216800,2024-03-23 18:00:00,DOGE/USD,0.1728,0.173,0.1728,0.173,3000.0,519.0
1711213200,2024-03-23 17:00:00,DOGE/USD,0.1743,0.1743,0.1743,0.1743,586.718528,102.26503943040001
1711209600,2024-03-23 16:00:00,DOGE/USD,0.17,0.17,0.17,0.17,3771.268911,641.11571487
1711191600,2024-03-23 11:00:00,DOGE/USD,0.16446,0.16446,0.16446,0.16446,1000.0,164.46
1711166400,2024-03-23 04:00:00,DOGE/USD,0.16,0.16,0.16,0.16,330.0,52.800000000000004
1711141200,2024-03-22 21:00:00,DOGE/USD,0.149,0.149,0.149,0.149,1103.081223,164.35910222699997
1711134000,2024-03-22 19:00:00,DOGE/USD,0.1525,0.1525,0.1525,0.1525,1080.051549,164.7078612225
1711112400,2024-03-22 13:00:00,DOGE/USD,0.149,0.149,0.148,0.148,2980.051549,441.0476292519999
1711094400,2024-03-22 08:00:00,DOGE/USD,0.1642,0.1642,0.1642,0.1642,950.0,155.99
1711087200,2024-03-22 06:00:00,DOGE/USD,0.16,0.16,0.16,0.16,1300.71435,208.114296
1711076400,2024-03-22 03:00:00,DOGE/USD,0.158,0.158,0.158,0.158,2422.744402,382.793615516
1711051200,2024-03-21 20:00:00,DOGE/USD,0.1546,0.1546,0.1546,0.1546,3000.0,463.79999999999995
1711047600,2024-03-21 19:00:00,DOGE/USD,0.152,0.153,0.152,0.153,1659.0,253.827
1711044000,2024-03-21 18:00:00,DOGE/USD,0.1508,0.1508,0.15,0.15,7000.0,1050.0
1711040400,2024-03-21 17:00:00,DOGE/USD,0.15828,0.15828,0.1575,0.1575,1950.0,307.125
1711004400,2024-03-21 07:00:00,DOGE/USD,0.1535,0.1535,0.1535,0.1535,1963.464988,301.391875658
1710990000,2024-03-21 03:00:00,DOGE/USD,0.1535,0.1535,0.15,0.15,1003.802037,150.57030555
1710961200,2024-03-20 19:00:00,DOGE/USD,0.1449,0.145,0.1449,0.145,2740.308327,397.344707415
1710946800,2024-03-20 15:00:00,DOGE/USD,0.1345,0.1345,0.1345,0.1345,7400.0,995.3000000000001
1710943200,2024-03-20 14:00:00,DOGE/USD,0.13325,0.13325,0.13325,0.13325,500.0,66.625
1710936000,2024-03-20 12:00:00,DOGE/USD,0.13401,0.13401,0.13401,0.13401,333.0,44.62533
1710907200,2024-03-20 04:00:00,DOGE/USD,0.1266,0.1266,0.1266,0.1266,400.0,50.63999999999999
1710831600,2024-03-19 07:00:00,DOGE/USD,0.128,0.128,0.128,0.128,10000.0,1280.0
1710828000,2024-03-19 06:00:00,DOGE/USD,0.13,0.13,0.13,0.13,1200.0,156.0
1710824400,2024-03-19 05:00:00,DOGE/USD,0.132,0.132,0.132,0.132,3500.0,462.0
1710817200,2024-03-19 03:00:00,DOGE/USD,0.135,0.135,0.135,0.135,347.194883,46.871309205
1710810000,2024-03-19 01:00:00,DOGE/USD,0.14,0.14,0.136,0.136,6356.216601,864.4454577360001
1710806400,2024-03-19 00:00:00,DOGE/USD,0.14391,0.14391,0.14391,0.14391,558.533458,80.37854994078
1710781200,2024-03-18 17:00:00,DOGE/USD,0.141,0.141,0.141,0.141,432.818663,61.027431482999994
1710766800,2024-03-18 13:00:00,DOGE/USD,0.145,0.145,0.145,0.145,1034.448362,149.99501249
1710720000,2024-03-18 00:00:00,DOGE/USD,0.1505,0.1505,0.1505,0.1505,500.0,75.25
1710694800,2024-03-17 17:00:00,DOGE/USD,0.1544,0.1544,0.1544,0.1544,653.0,100.8232
1710687600,2024-03-17 15:00:00,DOGE/USD,0.1505,0.1505,0.1505,0.1505,800.0,120.39999999999999
1710684000,2024-03-17 14:00:00,DOGE/USD,0.1499,0.1499,0.1499,0.1499,742.220999,111.2589277501
1710673200,2024-03-17 11:00:00,DOGE/USD,0.15148,0.15148,0.15148,0.15148,250.0,37.87
1710658800,2024-03-17 07:00:00,DOGE/USD,0.137,0.137,0.137,0.137,1466.106569,200.85659995300003
1710655200,2024-03-17 06:00:00,DOGE/USD,0.142,0.142,0.141,0.141,9526.262502,1343.2030127819999
1710630000,2024-03-16 23:00:00,DOGE/USD,0.14213,0.14213,0.14213,0.14213,23652.34,3361.7070842000003
1710622800,2024-03-16 21:00:00,DOGE/USD,0.14,0.14,0.14,0.14,2490.0,348.6
1710619200,2024-03-16 20:00:00,DOGE/USD,0.14162,0.14162,0.14162,0.14162,188.0,26.62456
1710615600,2024-03-16 19:00:00,DOGE/USD,0.14474,0.14474,0.14474,0.14474,5000.0,723.7
1710612000,2024-03-16 18:00:00,DOGE/USD,0.145,0.145,0.1414,0.1414,5651.909476,799.1799999064
1710608400,2024-03-16 17:00:00,DOGE/USD,0.15,0.15,0.148,0.148,2353.325383,348.29215668399996
1710594000,2024-03-16 13:00:00,DOGE/USD,0.15305,0.15305,0.152,0.152,1760.850375,267.649257
1710590400,2024-03-16 12:00:00,DOGE/USD,0.1555,0.1555,0.1555,0.1555,6000.0,933.0
1710586800,2024-03-16 11:00:00,DOGE/USD,0.15742,0.15742,0.15742,0.15742,2000.0,314.84000000000003
