https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1711288800,2024-03-24 14:00:00,LTC/USD,89.0,90.0,89.0,90.0,20.80175897,1872.1583073000002
1711285200,2024-03-24 13:00:00,LTC/USD,87.34,87.34,87.34,87.34,1.0221755,89.27680817
1711256400,2024-03-24 05:00:00,LTC/USD,87.0,88.0,87.0,88.0,30.0,2640.0
1711144800,2024-03-22 22:00:00,LTC/USD,82.4,82.4,82.4,82.4,0.3,24.720000000000002
1711130400,2024-03-22 18:00:00,LTC/USD,82.99,82.99,82.99,82.99,2.1,174.279
1711047600,2024-03-21 19:00:00,LTC/USD,86.3,86.472,86.3,86.472,1.07240204,92.73274920288
1710968400,2024-03-20 21:00:00,LTC/USD,84.98,84.98,84.98,84.98,1.0,84.98
1710889200,2024-03-19 23:00:00,LTC/USD,77.7,77.7,77.7,77.7,1.0,77.7
1710849600,2024-03-19 12:00:00,LTC/USD,80.4,80.4,80.4,80.4,0.377839,30.3782556
1710846000,2024-03-19 11:00:00,LTC/USD,79.429,79.429,79.429,79.429,8.21530554,652.53350373666
1710842400,2024-03-19 10:00:00,LTC/USD,78.449,78.449,78.449,78.449,0.00731397,0.57377363253
1710828000,2024-03-19 06:00:00,LTC/USD,80.0,80.0,80.0,80.0,0.2,16.0
1710817200,2024-03-19 03:00:00,LTC/USD,82.0,82.0,82.0,82.0,0.22,18.04
1710810000,2024-03-19 01:00:00,LTC/USD,83.541,83.541,83.541,83.541,4.92461171,411.40698686510996
1710788400,2024-03-18 19:00:00,LTC/USD,82.339,82.339,82.339,82.339,1.75172957,144.23566106423
1710766800,2024-03-18 13:00:00,LTC/USD,82.99,82.99,82.99,82.99,5.47336322,454.2344136278
1710759600,2024-03-18 11:00:00,LTC/USD,84.599,84.599,84.599,84.599,0.5309342,44.9165023858
1710741600,2024-03-18 06:00:00,LTC/USD,86.16,86.16,86.16,86.16,20.28490833,1747.7477017127999
1710734400,2024-03-18 04:00:00,LTC/USD,85.609,85.609,85.609,85.609,0.9975,85.3949775
1710727200,2024-03-18 02:00:00,LTC/USD,86.112,86.112,86.112,86.112,0.16370227,14.09672987424
1710673200,2024-03-17 11:00:00,LTC/USD,85.989,85.989,85.989,85.989,0.00272665,0.23446190685
1710630000,2024-03-16 23:00:00,LTC/USD,84.719,84.719,84.719,84.719,0.17,14.40223
1710626400,2024-03-16 22:00:00,LTC/USD,84.659,84.659,84.659,84.659,1.57587774,133.41223359066
1710597600,2024-03-16 14:00:00,LTC/USD,86.5,86.5,86.5,86.5,0.25,21.625
1710594000,2024-03-16 13:00:00,LTC/USD,87.901,87.901,87.901,87.901,6.38702984,561.42630996584
1710576000,2024-03-16 08:00:00,LTC/USD,90.019,90.019,90.019,90.019,9.49968844,855.15245368036
1710489600,2024-03-15 08:00:00,LTC/USD,86.592,86.592,86.592,86.592,0.24355598,21.08999942016
1710475200,2024-03-15 04:00:00,LTC/USD,87.461,87.461,87.461,87.461,0.79767238,69.76522402718
1710471600,2024-03-15 03:00:00,LTC/USD,89.0,89.0,87.0,87.0,63.89325887,5558.71352169
1710468000,2024-03-15 02:00:00,LTC/USD,90.71,90.71,90.51,90.51,110.0,9956.1
1710457200,2024-03-14 23:00:00,LTC/USD,94.122,94.122,94.122,94.122,0.17,16.00074
1710450000,2024-03-14 21:00:00,LTC/USD,93.5,93.5,93.5,93.5,35.46,3315.51
1710442800,2024-03-14 19:00:00,LTC/USD,91.0,91.0,90.0,90.0,20.17,1815.3000000000002
1710439200,2024-03-14 18:00:00,LTC/USD,93.0,93.0,92.0,92.0,20.0,1840.0
1710403200,2024-03-14 08:00:00,LTC/USD,96.55,96.55,96.55,96.55,1.30091,125.60286049999999
1710331200,2024-03-13 12:00:00,LTC/USD,97.561,97.561,97.561,97.561,5.05692325,493.35848919325
1710309600,2024-03-13 06:00:00,LTC/USD,97.729,97.729,97.729,97.729,5.17125713,505.38178805777
1710291600,2024-03-13 01:00:00,LTC/USD,97.33,97.33,97.251,97.251,2.39867328,233.27337515328003
1710280800,2024-03-12 22:00:00,LTC/USD,97.521,97.521,97.521,97.521,0.4538137,44.2563658377
1710262800,2024-03-12 17:00:00,LTC/USD,95.0,95.0,94.0,94.0,0.38,35.72
1710241200,2024-03-12 11:00:00,LTC/USD,98.531,98.531,98.531,98.531,3.02008787,297.57227791897
1710237600,2024-03-12 10:00:00,LTC/USD,97.189,97.189,97.189,97.189,13.55667423,1317.55961173947
1710234000,2024-03-12 09:00:00,LTC/USD,98.15,98.15,97.821,97.821,100.19306051,9800.985372148709
1710223200,2024-03-12 06:00:00,LTC/USD,99.209,99.209,99.209,99.209,0.11853973,11.76020807357
1710208800,2024-03-12 02:00:00,LTC/USD,101.5,101.5,101.5,101.5,100.0,10150.0
1710194400,2024-03-11 22:00:00,LTC/USD,105.569,106.555,105.569,106.555,0.66829967,71.21067133685001
1710180000,2024-03-11 18:00:00,LTC/USD,104.461,104.791,104.461,104.791,21.21275498,2222.90580710918
1710172800,2024-03-11 16:00:00,LTC/USD,102.269,104.0,102.269,104.0,12.04925,1253.122
1710169200,2024-03-11 15:00:00,LTC/USD,99.8,102.0,99.8,101.461,45.97851351,4665.02595923811
1710165600,2024-03-11 14:00:00,LTC/USD,97.64,98.0,97.64,98.0,10.448,1023.904
1710162000,2024-03-11 13:00:00,LTC/USD,96.0,96.0,96.0,96.0,10.0,960.0
1710151200,2024-03-11 10:00:00,LTC/USD,94.701,95.0,94.701,95.0,30.40655417,2888.62264615
1710108000,2024-03-10 22:00:00,LTC/USD,87.213,87.213,85.52,85.52,1.06432776,91.0213100352
1710093600,2024-03-10 18:00:00,LTC/USD,88.769,88.769,88.769,88.769,10.42696294,925.59107322086
1710021600,2024-03-09 22:00:00,LTC/USD,89.63,89.63,89.63,89.63,19.0,1702.9699999999998
1709917200,2024-03-08 17:00:00,LTC/USD,87.619,87.619,87.619,87.619,20.90651896,1831.80828475624
1709913600,2024-03-08 16:00:00,LTC/USD,85.819,85.871,85.819,85.871,29.845905,2562.8977082549995
1709910000,2024-03-08 15:00:00,LTC/USD,87.491,87.491,86.831,86.831,28.45843652,2471.07450146812
1709881200,2024-03-08 07:00:00,LTC/USD,88.02,88.02,88.02,88.02,3.73,328.3146
