https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1711238400000,2024-03-24 00:00:00,BTC/EUR,59254.56,62282.48,59254.56,62282.48,0.27949369,17407.5601575512
1711152000000,2024-03-23 00:00:00,BTC/EUR,60049.99,60818.97,59254.56,59254.56,0.14212526,8421.5697461856
1711065600000,2024-03-22 00:00:00,BTC/EUR,60269.76,62977.61,57782.47,60049.99,1.300601,78101.07704399
1710979200000,2024-03-21 00:00:00,BTC/EUR,61789.24,62124.18,60027.98,60269.76,0.55975695,33736.417034832004
1710892800000,2024-03-20 00:00:00,BTC/EUR,56685.58,62919.99,56000.0,61789.24,2.21569143,136905.8895342132
1710806400000,2024-03-19 00:00:00,BTC/EUR,61950.0,62999.99,56685.58,56685.58,1.94149053,110054.5167575574
1710720000000,2024-03-18 00:00:00,BTC/EUR,62672.28,65998.99,61215.25,61950.0,0.82397299,51045.1267305
1710633600000,2024-03-17 00:00:00,BTC/EUR,60177.22,64933.99,59406.3,62672.28,0.57684575,36152.23836081
1710547200000,2024-03-16 00:00:00,BTC/EUR,63974.97,64008.75,59998.57,60177.22,0.36827083,22161.5147564926
1710460800000,2024-03-15 00:00:00,BTC/EUR,65271.41,65568.78,60000.0,63974.97,5.28607329,338176.3801455513
1710374400000,2024-03-14 00:00:00,BTC/EUR,66651.64,67549.99,63076.97,65271.41,6.99814557,456778.82873915375
1710288000000,2024-03-13 00:00:00,BTC/EUR,65073.34,67998.0,65073.34,66651.64,7.19758156,479730.6150077584
1710201600000,2024-03-12 00:00:00,BTC/EUR,65464.79,66999.0,62000.0,65073.34,3.39392732,220854.18642964878
1710115200000,2024-03-11 00:00:00,BTC/EUR,62598.05,67999.0,60001.01,65464.79,5.08499251,332887.9668187229
1710028800000,2024-03-10 00:00:00,BTC/EUR,62701.78,64998.99,62598.05,62598.05,3.99610369,250148.29859180452
1709942400000,2024-03-09 00:00:00,BTC/EUR,63749.99,64999.0,62001.0,62701.78,4.25373213,266716.5761941914
1709856000000,2024-03-08 00:00:00,BTC/EUR,61276.23,64700.0,60000.0,63749.99,3.4847149,222150.540027851
1709769600000,2024-03-07 00:00:00,BTC/EUR,60487.75,61999.5,60070.71,61276.23,4.40019891,269627.6004549093
1709683200000,2024-03-06 00:00:00,BTC/EUR,58349.03,62100.0,57930.14,60487.75,3.06322805,185287.7724813875
1709596800000,2024-03-05 00:00:00,BTC/EUR,61500.0,62660.0,55000.0,58349.03,6.55313763,382369.2241669989
1709510400000,2024-03-04 00:00:00,BTC/EUR,57336.12,61500.0,56192.5,61500.0,16.07685971,988726.8721650001
1709424000000,2024-03-03 00:00:00,BTC/EUR,56592.14,57610.0,55000.0,57336.12,0.79493882,45578.70757617841
1709337600000,2024-03-02 00:00:00,BTC/EUR,57797.99,57797.99,55502.0,56592.14,1.70110406,96269.1191180884
1709251200000,2024-03-01 00:00:00,BTC/EUR,56400.0,57797.99,55500.0,57797.99,6.52190615,376953.0664386385
1709164800000,2024-02-29 00:00:00,BTC/EUR,56756.35,57800.0,53001.0,56400.0,6.69101577,377373.289428
1709078400000,2024-02-28 00:00:00,BTC/EUR,52063.29,58232.97,51674.42,56756.35,3.45297967,195978.5226934045
1708992000000,2024-02-27 00:00:00,BTC/EUR,50197.54,53999.0,50197.54,52063.29,11.56516185,602120.3752934865
1708905600000,2024-02-26 00:00:00,BTC/EUR,47897.82,50483.2,47133.34,50197.54,5.83993515,293150.378289531
1708819200000,2024-02-25 00:00:00,BTC/EUR,47784.88,48096.04,46591.21,47897.82,0.54231617,25975.762293749398
1708732800000,2024-02-24 00:00:00,BTC/EUR,46873.92,47824.54,46873.92,47784.88,1.52195755,72726.55889184399
1708646400000,2024-02-23 00:00:00,BTC/EUR,47533.95,47686.96,46873.92,46873.92,1.69594591,79495.6329096672
1708560000000,2024-02-22 00:00:00,BTC/EUR,47345.27,48080.86,46900.0,47533.95,2.54233551,120847.24901556449
1708473600000,2024-02-21 00:00:00,BTC/EUR,48068.3,48207.83,45169.0,47345.27,2.29554068,108682.99329058359
1708387200000,2024-02-20 00:00:00,BTC/EUR,47928.0,48750.25,47000.0,48068.3,3.77693268,181550.73314204402
1708300800000,2024-02-19 00:00:00,BTC/EUR,48483.65,48703.0,47881.99,47928.0,8.90349715,426726.8114052
