https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP
1711321200000,2024-03-24 23:00:00,BTC/GBP,53112.88,53579.27,53112.88,53287.02,0.00801348,427.0144690296
1711317600000,2024-03-24 22:00:00,BTC/GBP,52849.7,53112.88,52765.29,53112.88,0.03788915,2012.401877252
1711314000000,2024-03-24 21:00:00,BTC/GBP,52591.94,52849.7,52493.27,52849.7,0.03936331,2080.3391245069997
1711310400000,2024-03-24 20:00:00,BTC/GBP,52269.19,52591.94,52163.63,52591.94,0.26038076,13693.9293070744
1711306800000,2024-03-24 19:00:00,BTC/GBP,52252.5,52269.19,52101.33,52269.19,0.0266375,1392.3205486250001
1711303200000,2024-03-24 18:00:00,BTC/GBP,51663.5,52252.5,51663.5,52252.5,0.01710944,894.0110136
1711299600000,2024-03-24 17:00:00,BTC/GBP,51788.13,51822.5,51300.0,51663.5,0.48011887,24804.621240245
1711296000000,2024-03-24 16:00:00,BTC/GBP,52053.38,52181.92,51788.13,51788.13,0.07034094,3642.8257450422
1711292400000,2024-03-24 15:00:00,BTC/GBP,52117.81,52117.81,51990.85,52053.38,0.04568582,2378.1013490716
1711288800000,2024-03-24 14:00:00,BTC/GBP,51900.57,52286.3,51900.57,52117.81,0.30746614,16024.461865953399
1711285200000,2024-03-24 13:00:00,BTC/GBP,51794.7,52137.2,51624.1,51900.57,0.42112396,21856.5735646572
1711281600000,2024-03-24 12:00:00,BTC/GBP,51852.3,52023.9,51794.7,51794.7,0.01923,996.012081
1711278000000,2024-03-24 11:00:00,BTC/GBP,53009.9,53009.9,51826.7,51852.3,0.05476156,2839.5128375880004
1711274400000,2024-03-24 10:00:00,BTC/GBP,51565.45,53009.9,51376.4,53009.9,0.05395529,2860.164527371
1711270800000,2024-03-24 09:00:00,BTC/GBP,51399.28,51565.45,51399.28,51565.45,0.00099134,51.118893203
1711267200000,2024-03-24 08:00:00,BTC/GBP,50821.57,51466.4,50821.57,51399.28,0.0658807,3386.2205458959997
1711263600000,2024-03-24 07:00:00,BTC/GBP,50870.11,50870.11,50821.57,50821.57,0.06,3049.2942
1711260000000,2024-03-24 06:00:00,BTC/GBP,50870.11,50870.11,50870.11,50870.11,0.0,0.0
1711256400000,2024-03-24 05:00:00,BTC/GBP,50870.11,50870.11,50870.11,50870.11,0.0,0.0
1711252800000,2024-03-24 04:00:00,BTC/GBP,50870.11,50870.11,50870.11,50870.11,0.0,0.0
1711249200000,2024-03-24 03:00:00,BTC/GBP,51193.65,51193.65,50870.11,50870.11,0.01278266,650.2553202926
1711245600000,2024-03-24 02:00:00,BTC/GBP,51193.65,51193.65,51193.65,51193.65,0.0,0.0
1711242000000,2024-03-24 01:00:00,BTC/GBP,50977.89,51193.65,50977.89,51193.65,0.00983721,503.60268571650005
1711238400000,2024-03-24 00:00:00,BTC/GBP,50977.89,50977.89,50977.89,50977.89,0.0,0.0
1711234800000,2024-03-23 23:00:00,BTC/GBP,51574.66,51574.66,50977.89,50977.89,0.8992778,45843.284767842
1711231200000,2024-03-23 22:00:00,BTC/GBP,51574.66,51574.66,51574.66,51574.66,0.0,0.0
1711227600000,2024-03-23 21:00:00,BTC/GBP,51548.77,51574.66,51439.94,51574.66,0.02591255,1336.430955983
1711224000000,2024-03-23 20:00:00,BTC/GBP,51463.83,51572.44,51350.0,51548.77,0.03647597,1880.2913880569001
1711220400000,2024-03-23 19:00:00,BTC/GBP,52143.39,52143.39,51463.83,51463.83,0.10727775,5520.9238887825
1711216800000,2024-03-23 18:00:00,BTC/GBP,52143.39,52143.39,52143.39,52143.39,0.0,0.0
1711213200000,2024-03-23 17:00:00,BTC/GBP,52156.05,52156.05,51995.0,52143.39,0.15890417,8285.802108936301
1711209600000,2024-03-23 16:00:00,BTC/GBP,51422.88,52217.04,51422.88,52156.05,0.02568854,1339.812776667
1711206000000,2024-03-23 15:00:00,BTC/GBP,51885.64,51885.64,51397.48,51422.88,0.07179513,3691.9123545743996
1711202400000,2024-03-23 14:00:00,BTC/GBP,51247.11,51885.64,51247.11,51885.64,0.05786379,3002.2997769756
1711198800000,2024-03-23 13:00:00,BTC/GBP,51247.11,51247.11,51247.11,51247.11,0.0,0.0
1711195200000,2024-03-23 12:00:00,BTC/GBP,51247.11,51247.11,51247.11,51247.11,0.0,0.0
1711191600000,2024-03-23 11:00:00,BTC/GBP,51007.15,51247.11,51007.15,51247.11,0.01783651,914.0695899861
1711188000000,2024-03-23 10:00:00,BTC/GBP,51124.7,51316.35,51007.15,51007.15,0.0388065,1979.4089664750002
1711184400000,2024-03-23 09:00:00,BTC/GBP,51119.97,51225.3,50994.39,51124.7,0.0165413,845.6690001099998
1711180800000,2024-03-23 08:00:00,BTC/GBP,51116.8,51499.94,51045.6,51119.97,0.33000016,16869.5982791952
1711177200000,2024-03-23 07:00:00,BTC/GBP,50856.11,51116.8,50856.11,51116.8,0.0062382,318.87682176000004
1711173600000,2024-03-23 06:00:00,BTC/GBP,50842.6,50862.2,50842.6,50856.11,0.10070287,5121.3562340357
1711170000000,2024-03-23 05:00:00,BTC/GBP,50083.3,50877.2,50083.3,50842.6,0.27595887,14030.466443862
1711166400000,2024-03-23 04:00:00,BTC/GBP,50077.33,50083.3,50077.33,50083.3,0.00097333,48.747578389000005
1711162800000,2024-03-23 03:00:00,BTC/GBP,50077.33,50077.33,50077.33,50077.33,0.0,0.0
1711159200000,2024-03-23 02:00:00,BTC/GBP,50149.1,50149.1,50077.33,50077.33,0.03,1502.3199
1711155600000,2024-03-23 01:00:00,BTC/GBP,50149.1,50149.1,50149.1,50149.1,0.0,0.0
1711152000000,2024-03-23 00:00:00,BTC/GBP,50376.5,50376.5,50149.1,50149.1,0.00684624,343.332774384
1711148400000,2024-03-22 23:00:00,BTC/GBP,50060.01,50388.4,49980.0,50376.5,0.00478596,241.09991394
1711144800000,2024-03-22 22:00:00,BTC/GBP,49600.0,50060.01,49600.0,50060.01,0.00411397,205.9453793397
1711141200000,2024-03-22 21:00:00,BTC/GBP,50321.4,51779.9,49600.0,49600.0,0.17564837,8712.159152
1711137600000,2024-03-22 20:00:00,BTC/GBP,50936.3,50936.3,50321.4,50321.4,1.28156267,64490.027742138
1711134000000,2024-03-22 19:00:00,BTC/GBP,50641.4,50936.3,50510.0,50936.3,0.02151751,1096.022344613
1711130400000,2024-03-22 18:00:00,BTC/GBP,50476.69,50681.4,50461.8,50641.4,0.05321462,2694.862857268
1711126800000,2024-03-22 17:00:00,BTC/GBP,50129.9,50564.86,50129.9,50476.69,0.02556696,1290.5355141624
1711123200000,2024-03-22 16:00:00,BTC/GBP,50670.38,50670.38,50105.3,50129.9,0.06367197,3191.869488903
1711119600000,2024-03-22 15:00:00,BTC/GBP,49808.93,50959.55,49808.93,50670.38,1.00796587,51074.0136599306
1711116000000,2024-03-22 14:00:00,BTC/GBP,50000.0,50082.2,49808.93,49808.93,0.14376961,7161.0104406172995
1711112400000,2024-03-22 13:00:00,BTC/GBP,50980.38,50980.38,50000.0,50000.0,0.29688198,14844.099
1711108800000,2024-03-22 12:00:00,BTC/GBP,51052.1,51303.1,50980.38,50980.38,0.72934175,37182.119564864995
1711105200000,2024-03-22 11:00:00,BTC/GBP,51478.13,51578.91,50975.0,51052.1,0.05682009,2900.7849166889996
1711101600000,2024-03-22 10:00:00,BTC/GBP,52027.32,52027.32,51337.02,51478.13,1.24937088,64315.2765788544
1711098000000,2024-03-22 09:00:00,BTC/GBP,52380.0,52409.19,51977.29,52027.32,0.04389177,2283.5711631564
1711094400000,2024-03-22 08:00:00,BTC/GBP,52330.96,52655.86,52320.0,52380.0,0.74838293,39200.2978734
1711090800000,2024-03-22 07:00:00,BTC/GBP,52330.96,52330.96,52330.96,52330.96,0.0,0.0
1711087200000,2024-03-22 06:00:00,BTC/GBP,52330.96,52330.96,52330.96,52330.96,0.0,0.0
1711083600000,2024-03-22 05:00:00,BTC/GBP,52229.8,52330.96,52229.8,52330.96,0.01311153,686.1389519688
1711080000000,2024-03-22 04:00:00,BTC/GBP,52229.8,52229.8,52229.8,52229.8,0.0,0.0
1711076400000,2024-03-22 03:00:00,BTC/GBP,51550.0,52233.9,51550.0,52229.8,0.0159569,833.42569562
1711072800000,2024-03-22 02:00:00,BTC/GBP,51846.19,51846.19,51550.0,51550.0,0.00092629,47.750249499999995
1711069200000,2024-03-22 01:00:00,BTC/GBP,51929.01,51929.01,51846.19,51846.19,0.01588692,823.6762728348
1711065600000,2024-03-22 00:00:00,BTC/GBP,51687.4,51929.01,51687.4,51929.01,1.102e-05,0.5722576902
1711062000000,2024-03-21 23:00:00,BTC/GBP,51740.57,51740.57,51639.48,51687.4,0.02952823,1526.237435302
1711058400000,2024-03-21 22:00:00,BTC/GBP,51740.57,51740.57,51740.57,51740.57,0.0,0.0
1711054800000,2024-03-21 21:00:00,BTC/GBP,51550.0,51740.57,51550.0,51740.57,0.00906249,468.89839821929996
1711051200000,2024-03-21 20:00:00,BTC/GBP,51702.16,51726.49,51200.0,51550.0,0.00640859,330.36281449999996
1711047600000,2024-03-21 19:00:00,BTC/GBP,51454.42,51702.16,51400.0,51702.16,0.01885052,974.6126011232
1711044000000,2024-03-21 18:00:00,BTC/GBP,51920.71,51920.71,51445.17,51454.42,0.08073872,4154.3640091423995
1711040400000,2024-03-21 17:00:00,BTC/GBP,52756.53,52860.79,51920.71,51920.71,0.0419736,2179.299113256
1711036800000,2024-03-21 16:00:00,BTC/GBP,52545.43,52756.53,52507.34,52756.53,0.08196987,4324.4459057511
1711033200000,2024-03-21 15:00:00,BTC/GBP,52610.0,52693.94,52310.0,52545.43,0.02193817,1152.7505760631
1711029600000,2024-03-21 14:00:00,BTC/GBP,52612.22,52782.34,52610.0,52610.0,0.01343559,706.8463899000001
1711026000000,2024-03-21 13:00:00,BTC/GBP,52755.39,53176.22,52612.22,52612.22,1.57884862,83066.7309421364
1711022400000,2024-03-21 12:00:00,BTC/GBP,52583.5,52764.89,52583.5,52755.39,0.11672605,6157.9282909095
1711018800000,2024-03-21 11:00:00,BTC/GBP,52395.57,52583.5,52351.61,52583.5,0.01935443,1017.723669905
1711015200000,2024-03-21 10:00:00,BTC/GBP,52624.1,52624.1,52292.76,52395.57,0.03045167,1595.5326071018999
1711011600000,2024-03-21 09:00:00,BTC/GBP,52738.8,52738.8,52550.0,52624.1,0.00556464,292.834171824
1711008000000,2024-03-21 08:00:00,BTC/GBP,52381.79,52842.13,52381.79,52738.8,0.01274406,672.106431528
1711004400000,2024-03-21 07:00:00,BTC/GBP,52190.0,52424.58,52190.0,52381.79,0.00176348,92.3742390292
1711000800000,2024-03-21 06:00:00,BTC/GBP,52190.0,52190.0,52190.0,52190.0,0.0,0.0
1710997200000,2024-03-21 05:00:00,BTC/GBP,52250.0,52250.0,52190.0,52190.0,0.00376927,196.7182013
1710993600000,2024-03-21 04:00:00,BTC/GBP,52250.0,52250.0,52250.0,52250.0,0.0,0.0
1710990000000,2024-03-21 03:00:00,BTC/GBP,53028.54,53028.54,52250.0,52250.0,0.009533,498.09925
1710986400000,2024-03-21 02:00:00,BTC/GBP,53129.24,53129.24,53010.42,53028.54,0.03695782,1959.8192361828
1710982800000,2024-03-21 01:00:00,BTC/GBP,53163.61,53163.61,53110.96,53129.24,0.01852892,984.4274376208
1710979200000,2024-03-21 00:00:00,BTC/GBP,53163.61,53163.61,53163.61,53163.61,0.0,0.0
1710975600000,2024-03-20 23:00:00,BTC/GBP,52774.63,53163.61,52774.63,53163.61,0.01153244,613.1061425084
1710972000000,2024-03-20 22:00:00,BTC/GBP,52987.37,53232.64,52774.63,52774.63,0.13066989,6896.0550968907
1710968400000,2024-03-20 21:00:00,BTC/GBP,52715.3,53150.69,52715.3,52987.37,0.04729858,2506.2273589346
1710964800000,2024-03-20 20:00:00,BTC/GBP,51451.62,52970.0,51451.62,52715.3,1.91106437,100742.33158386101
1710961200000,2024-03-20 19:00:00,BTC/GBP,51244.0,51664.44,51244.0,51451.62,0.26393568,13579.9183118016
1710957600000,2024-03-20 18:00:00,BTC/GBP,50560.9,51244.0,50503.25,51244.0,0.21670009,11104.579411960001
1710954000000,2024-03-20 17:00:00,BTC/GBP,49716.52,50783.73,49524.97,50560.9,1.28055123,64745.822684907
1710950400000,2024-03-20 16:00:00,BTC/GBP,50051.13,50209.9,49009.4,49716.52,0.49771633,24744.723874771596
1710946800000,2024-03-20 15:00:00,BTC/GBP,50635.3,50693.4,50051.13,50051.13,0.04687275,2346.0341037075
1710943200000,2024-03-20 14:00:00,BTC/GBP,50187.0,50635.3,50080.0,50635.3,0.0318098,1610.6987659400002
