https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1711321200000,2024-03-24 23:00:00,DOGE/BTC,2.64e-06,2.722e-06,2.626e-06,2.64e-06,58224.60313024,0.1537129522638336
1711317600000,2024-03-24 22:00:00,DOGE/BTC,2.67e-06,2.67e-06,2.64e-06,2.64e-06,6133.03412702,0.0161912100953328
1711314000000,2024-03-24 21:00:00,DOGE/BTC,2.658e-06,2.705e-06,2.658e-06,2.67e-06,4982.09125281,0.0133021836450027
1711310400000,2024-03-24 20:00:00,DOGE/BTC,2.65e-06,2.675e-06,2.65e-06,2.658e-06,2013.57174739,0.00535207370456262
1711306800000,2024-03-24 19:00:00,DOGE/BTC,2.63e-06,2.65e-06,2.63e-06,2.65e-06,295.43493483,0.0007829025772994999
1711303200000,2024-03-24 18:00:00,DOGE/BTC,2.611e-06,2.639e-06,2.611e-06,2.63e-06,140.25426891,0.0003688687272333
1711299600000,2024-03-24 17:00:00,DOGE/BTC,2.65e-06,2.65e-06,2.611e-06,2.611e-06,9215.79935511,0.024062452116192214
1711296000000,2024-03-24 16:00:00,DOGE/BTC,2.652e-06,2.698e-06,2.65e-06,2.65e-06,4137.71971883,0.0109649572548995
1711292400000,2024-03-24 15:00:00,DOGE/BTC,2.64e-06,2.7e-06,2.626e-06,2.652e-06,18046.61019364,0.04785961023353329
1711288800000,2024-03-24 14:00:00,DOGE/BTC,2.63e-06,2.64e-06,2.611e-06,2.64e-06,16914.3312589,0.04465383452349601
1711285200000,2024-03-24 13:00:00,DOGE/BTC,2.646e-06,2.65e-06,2.6e-06,2.63e-06,3685.08724886,0.0096917794645018
1711281600000,2024-03-24 12:00:00,DOGE/BTC,2.659e-06,2.659e-06,2.646e-06,2.646e-06,50.0,0.00013230000000000002
1711278000000,2024-03-24 11:00:00,DOGE/BTC,2.64e-06,2.69e-06,2.64e-06,2.659e-06,7493.49547427,0.01992520446608393
1711274400000,2024-03-24 10:00:00,DOGE/BTC,2.66e-06,2.66e-06,2.64e-06,2.64e-06,401.39183577,0.0010596744464328
1711270800000,2024-03-24 09:00:00,DOGE/BTC,2.66e-06,2.66e-06,2.66e-06,2.66e-06,0.0,0.0
1711267200000,2024-03-24 08:00:00,DOGE/BTC,2.675e-06,2.687e-06,2.66e-06,2.66e-06,128.11623999,0.0003407891983734
1711263600000,2024-03-24 07:00:00,DOGE/BTC,2.66e-06,2.699e-06,2.65e-06,2.675e-06,601.51990757,0.00160906575274975
1711260000000,2024-03-24 06:00:00,DOGE/BTC,2.67e-06,2.692e-06,2.66e-06,2.66e-06,11925.88941849,0.0317228658531834
1711256400000,2024-03-24 05:00:00,DOGE/BTC,2.652e-06,2.67e-06,2.64e-06,2.67e-06,7761.67443527,0.020723670742170897
1711252800000,2024-03-24 04:00:00,DOGE/BTC,2.64e-06,2.652e-06,2.64e-06,2.652e-06,130.36459381,0.00034572690278412
1711249200000,2024-03-24 03:00:00,DOGE/BTC,2.666e-06,2.666e-06,2.62e-06,2.64e-06,2330.93359666,0.006153664695182401
1711245600000,2024-03-24 02:00:00,DOGE/BTC,2.582e-06,2.666e-06,2.582e-06,2.666e-06,7641.36909336,0.02037189000289776
1711242000000,2024-03-24 01:00:00,DOGE/BTC,2.594e-06,2.594e-06,2.582e-06,2.582e-06,1139.61656226,0.00294248996375532
1711238400000,2024-03-24 00:00:00,DOGE/BTC,2.513e-06,2.594e-06,2.513e-06,2.594e-06,2815.34767317,0.00730301186420298
1711234800000,2024-03-23 23:00:00,DOGE/BTC,2.558e-06,2.56e-06,2.513e-06,2.513e-06,4159.56910076,0.01045299715020988
1711231200000,2024-03-23 22:00:00,DOGE/BTC,2.563e-06,2.57e-06,2.558e-06,2.558e-06,1544.40020826,0.00395057573272908
1711227600000,2024-03-23 21:00:00,DOGE/BTC,2.6e-06,2.6e-06,2.563e-06,2.563e-06,4979.93815974,0.01276358150341362
