https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1711238400000,2024-03-24 00:00:00,DOGE/BTC,2.513e-06,2.722e-06,2.513e-06,2.64e-06,166208.25606716,0.4387897960173024
1711152000000,2024-03-23 00:00:00,DOGE/BTC,2.413e-06,2.67e-06,2.413e-06,2.513e-06,69406.07281606,0.17441746098675875
1711065600000,2024-03-22 00:00:00,DOGE/BTC,2.38e-06,2.559e-06,2.321e-06,2.413e-06,134557.20823589,0.3246865434732026
1710979200000,2024-03-21 00:00:00,DOGE/BTC,2.23e-06,2.39e-06,2.22e-06,2.38e-06,870758.70953349,2.072405728689706
1710892800000,2024-03-20 00:00:00,DOGE/BTC,2.07e-06,2.336e-06,2.01e-06,2.23e-06,90378.85494495,0.20154484652723847
1710806400000,2024-03-19 00:00:00,DOGE/BTC,2.11e-06,2.11e-06,2.01e-06,2.07e-06,53290.37532724,0.1103110769273868
1710720000000,2024-03-18 00:00:00,DOGE/BTC,2.269e-06,2.269e-06,2.1e-06,2.11e-06,35011.66067901,0.0738746040327111
1710633600000,2024-03-17 00:00:00,DOGE/BTC,2.173e-06,2.322e-06,2.12e-06,2.269e-06,99596.45346492,0.22598435291190347
1710547200000,2024-03-16 00:00:00,DOGE/BTC,2.344e-06,2.386e-06,2.109e-06,2.173e-06,68247.44902047,0.14830170672148132
1710460800000,2024-03-15 00:00:00,DOGE/BTC,2.47e-06,2.51e-06,2.328e-06,2.344e-06,85245.11896642,0.1998145588572885
1710374400000,2024-03-14 00:00:00,DOGE/BTC,2.3e-06,2.6e-06,2.28e-06,2.47e-06,227530.00841653,0.5619991207888292
1710288000000,2024-03-13 00:00:00,DOGE/BTC,2.33e-06,2.402e-06,2.27e-06,2.3e-06,80294.91823557,0.184678311941811
1710201600000,2024-03-12 00:00:00,DOGE/BTC,2.51e-06,2.51e-06,2.3e-06,2.33e-06,78558.91698266,0.18304227656959782
1710115200000,2024-03-11 00:00:00,DOGE/BTC,2.45e-06,2.54e-06,2.379e-06,2.51e-06,242824.27318828,0.6094889257025828
1710028800000,2024-03-10 00:00:00,DOGE/BTC,2.616e-06,2.616e-06,2.43e-06,2.45e-06,115315.35120775,0.2825226104589875
1709942400000,2024-03-09 00:00:00,DOGE/BTC,2.411e-06,2.706e-06,2.4e-06,2.616e-06,375480.16315123,0.9822561068036177
1709856000000,2024-03-08 00:00:00,DOGE/BTC,2.35e-06,2.576e-06,2.32e-06,2.411e-06,206181.5982552,0.4971038333932872
1709769600000,2024-03-07 00:00:00,DOGE/BTC,2.392e-06,2.431e-06,2.23e-06,2.35e-06,149142.62877557,0.35048517762258946
1709683200000,2024-03-06 00:00:00,DOGE/BTC,2.44e-06,2.65e-06,2.33e-06,2.392e-06,103602.22990636,0.2478165339360131
1709596800000,2024-03-05 00:00:00,DOGE/BTC,2.67e-06,3.004e-06,2.12e-06,2.44e-06,1339502.81157789,3.2683868602500517
1709510400000,2024-03-04 00:00:00,DOGE/BTC,2.45e-06,2.78e-06,2.329e-06,2.67e-06,768746.11121082,2.0525521169328895
1709424000000,2024-03-03 00:00:00,DOGE/BTC,2.3e-06,2.49e-06,2.051e-06,2.45e-06,242436.19161084,0.593968669446558
1709337600000,2024-03-02 00:00:00,DOGE/BTC,2.261e-06,2.44e-06,2.232e-06,2.3e-06,2435037.50343951,5.600586257910872
1709251200000,2024-03-01 00:00:00,DOGE/BTC,1.93e-06,2.331e-06,1.93e-06,2.261e-06,559668.20813315,1.265409818589052
1709164800000,2024-02-29 00:00:00,DOGE/BTC,1.853e-06,2.232e-06,1.82e-06,1.93e-06,1077923.68398469,2.080392710090452
1709078400000,2024-02-28 00:00:00,DOGE/BTC,1.74e-06,1.99e-06,1.627e-06,1.853e-06,379217.93901356,0.7026908409921268
1708992000000,2024-02-27 00:00:00,DOGE/BTC,1.65e-06,1.756e-06,1.56e-06,1.74e-06,266858.68610733,0.46433411382675427
1708905600000,2024-02-26 00:00:00,DOGE/BTC,1.65e-06,1.669e-06,1.616e-06,1.65e-06,104408.69018707,0.1722743388086655
1708819200000,2024-02-25 00:00:00,DOGE/BTC,1.657e-06,1.68e-06,1.64e-06,1.65e-06,32971.13041477,0.0544023651843705
1708732800000,2024-02-24 00:00:00,DOGE/BTC,1.641e-06,1.69e-06,1.64e-06,1.657e-06,85128.84982155,0.14105850415430835
1708646400000,2024-02-23 00:00:00,DOGE/BTC,1.63e-06,1.67e-06,1.62e-06,1.641e-06,15674.61871888,0.02572204931768208
1708560000000,2024-02-22 00:00:00,DOGE/BTC,1.629e-06,1.65e-06,1.613e-06,1.63e-06,35305.86154199,0.0575485543134437
1708473600000,2024-02-21 00:00:00,DOGE/BTC,1.65e-06,1.65e-06,1.613e-06,1.629e-06,383383.92724939,0.6245324174892563
1708387200000,2024-02-20 00:00:00,DOGE/BTC,1.74e-06,1.773e-06,1.62e-06,1.65e-06,100595.21419406,0.165982103420199
1708300800000,2024-02-19 00:00:00,DOGE/BTC,1.62e-06,1.74e-06,1.611e-06,1.74e-06,37390.07487222,0.0650587302776628
1708214400000,2024-02-18 00:00:00,DOGE/BTC,1.616e-06,1.641e-06,1.596e-06,1.62e-06,31321.06483961,0.0507401250401682
1708128000000,2024-02-17 00:00:00,DOGE/BTC,1.64e-06,1.64e-06,1.614e-06,1.616e-06,10817.24651857,0.017480670374009123
1708041600000,2024-02-16 00:00:00,DOGE/BTC,1.641e-06,1.671e-06,1.617e-06,1.64e-06,25819.65972727,0.042344241952722794
1707955200000,2024-02-15 00:00:00,DOGE/BTC,1.653e-06,1.697e-06,1.626e-06,1.641e-06,33264.7226022,0.054587409790210206
1707868800000,2024-02-14 00:00:00,DOGE/BTC,1.633e-06,1.688e-06,1.56e-06,1.653e-06,65434.30504679,0.10816290624234388
1707782400000,2024-02-13 00:00:00,DOGE/BTC,1.644e-06,1.66e-06,1.613e-06,1.633e-06,14955.58363229,0.02442246807152957
1707696000000,2024-02-12 00:00:00,DOGE/BTC,1.688e-06,1.688e-06,1.582e-06,1.644e-06,33345.58435772,0.05482014068409168
1707609600000,2024-02-11 00:00:00,DOGE/BTC,1.718e-06,1.726e-06,1.688e-06,1.688e-06,306991.78906895,0.5182021399483876
1707523200000,2024-02-10 00:00:00,DOGE/BTC,1.73e-06,1.73e-06,1.69e-06,1.718e-06,61738.93235545,0.1060674857866631
1707436800000,2024-02-09 00:00:00,DOGE/BTC,1.769e-06,1.769e-06,1.7e-06,1.73e-06,26188.93860966,0.0453068637947118
1707350400000,2024-02-08 00:00:00,DOGE/BTC,1.82e-06,1.82e-06,1.756e-06,1.769e-06,78872.73863674,0.13952587464839306
1707264000000,2024-02-07 00:00:00,DOGE/BTC,1.809e-06,1.844e-06,1.79e-06,1.82e-06,43257.90084792,0.07872937954321439
1707177600000,2024-02-06 00:00:00,DOGE/BTC,1.84e-06,1.84e-06,1.784e-06,1.809e-06,53849.93731827,0.09741453660875042
1707091200000,2024-02-05 00:00:00,DOGE/BTC,1.836e-06,1.85e-06,1.83e-06,1.84e-06,1918.63953101,0.0035302967370583996
1707004800000,2024-02-04 00:00:00,DOGE/BTC,1.831e-06,1.86e-06,1.809e-06,1.836e-06,28280.46035144,0.051922925205243844
1706918400000,2024-02-03 00:00:00,DOGE/BTC,1.837e-06,1.871e-06,1.809e-06,1.831e-06,63746.41924006,0.11671969362854985
1706832000000,2024-02-02 00:00:00,DOGE/BTC,1.848e-06,1.86e-06,1.828e-06,1.837e-06,11459.46091168,0.02105102969475616
1706745600000,2024-02-01 00:00:00,DOGE/BTC,1.85e-06,1.879e-06,1.837e-06,1.848e-06,28331.8968391,0.0523573453586568
1706659200000,2024-01-31 00:00:00,DOGE/BTC,1.869e-06,1.879e-06,1.708e-06,1.85e-06,128100.55448357,0.2369860257946045
1706572800000,2024-01-30 00:00:00,DOGE/BTC,1.88e-06,1.9e-06,1.859e-06,1.869e-06,22345.93989579,0.041764561665231514
1706486400000,2024-01-29 00:00:00,DOGE/BTC,1.88e-06,1.964e-06,1.86e-06,1.88e-06,113522.43856706,0.2134221845060728
1706400000000,2024-01-28 00:00:00,DOGE/BTC,1.909e-06,1.909e-06,1.86e-06,1.88e-06,45061.00553361,0.0847146904031868
1706313600000,2024-01-27 00:00:00,DOGE/BTC,1.919e-06,1.93e-06,1.885e-06,1.909e-06,33666.90207122,0.06427011605395898
1706227200000,2024-01-26 00:00:00,DOGE/BTC,1.929e-06,1.971e-06,1.9e-06,1.919e-06,22779.46576834,0.04371379480944446
1706140800000,2024-01-25 00:00:00,DOGE/BTC,1.96e-06,1.978e-06,1.928e-06,1.929e-06,11825.35377881,0.02281110743932449
1706054400000,2024-01-24 00:00:00,DOGE/BTC,1.93e-06,2.002e-06,1.923e-06,1.96e-06,122086.66449962,0.2392898624192552
1705968000000,2024-01-23 00:00:00,DOGE/BTC,2.003e-06,2.041e-06,1.928e-06,1.93e-06,134904.87160396,0.26036640219564283
1705881600000,2024-01-22 00:00:00,DOGE/BTC,2.045e-06,2.083e-06,2.003e-06,2.003e-06,127694.33715074,0.2557717573129322
1705795200000,2024-01-21 00:00:00,DOGE/BTC,2.12e-06,2.16e-06,2.045e-06,2.045e-06,90703.57912717,0.18548881931506264
1705708800000,2024-01-20 00:00:00,DOGE/BTC,1.895e-06,2.18e-06,1.88e-06,2.12e-06,171067.04427963,0.3626621338728156
1705622400000,2024-01-19 00:00:00,DOGE/BTC,1.89e-06,1.895e-06,1.859e-06,1.895e-06,13652.07651615,0.02587068499810425
1705536000000,2024-01-18 00:00:00,DOGE/BTC,1.87e-06,1.901e-06,1.858e-06,1.89e-06,35625.00671623,0.06733126269367469
1705449600000,2024-01-17 00:00:00,DOGE/BTC,1.87e-06,1.91e-06,1.868e-06,1.87e-06,6323.71023124,0.011825338132418801
1705363200000,2024-01-16 00:00:00,DOGE/BTC,1.9e-06,1.914e-06,1.87e-06,1.87e-06,5004.7779169,0.009358934704603
1705276800000,2024-01-15 00:00:00,DOGE/BTC,1.894e-06,1.94e-06,1.87e-06,1.9e-06,46645.14113483,0.08862576815617701
1705190400000,2024-01-14 00:00:00,DOGE/BTC,1.9e-06,1.946e-06,1.86e-06,1.894e-06,34124.80173159,0.06463237447963147
1705104000000,2024-01-13 00:00:00,DOGE/BTC,1.86e-06,1.971e-06,1.86e-06,1.9e-06,79221.89114755,0.15052159318034503
