https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC
1711321200000,2024-03-24 23:00:00,LTC/BTC,0.0013385,0.0013436,0.0013321,0.0013321,5.35151,0.0071287464709999995
1711317600000,2024-03-24 22:00:00,LTC/BTC,0.0013489,0.0013489,0.0013385,0.0013385,2.66789,0.003570970765
1711314000000,2024-03-24 21:00:00,LTC/BTC,0.0013594,0.0013594,0.0013489,0.0013489,4.00293,0.005399552277
1711310400000,2024-03-24 20:00:00,LTC/BTC,0.0013594,0.0013594,0.0013594,0.0013594,0.0,0.0
1711306800000,2024-03-24 19:00:00,LTC/BTC,0.0013594,0.0013594,0.0013594,0.0013594,0.0,0.0
1711303200000,2024-03-24 18:00:00,LTC/BTC,0.0013801,0.0013801,0.0013594,0.0013594,0.42666,0.000580001604
1711299600000,2024-03-24 17:00:00,LTC/BTC,0.001375,0.0013881,0.0013746,0.0013801,5.95012,0.008211760612
1711296000000,2024-03-24 16:00:00,LTC/BTC,0.0013587,0.0013818,0.0013587,0.001375,7.51854,0.010337992499999999
1711292400000,2024-03-24 15:00:00,LTC/BTC,0.0013587,0.0013587,0.0013587,0.0013587,0.0,0.0
1711288800000,2024-03-24 14:00:00,LTC/BTC,0.0013581,0.0013709,0.0013581,0.0013587,7.6659,0.010415658329999999
1711285200000,2024-03-24 13:00:00,LTC/BTC,0.0013328,0.0013581,0.0013321,0.0013581,1.90937,0.002593115397
1711281600000,2024-03-24 12:00:00,LTC/BTC,0.0013633,0.0013633,0.0013328,0.0013328,3.55772,0.004741729216000001
1711278000000,2024-03-24 11:00:00,LTC/BTC,0.0013512,0.0013633,0.0013512,0.0013633,14.27681,0.019463575073
1711274400000,2024-03-24 10:00:00,LTC/BTC,0.0013349,0.0013512,0.0013349,0.0013512,0.6347,0.0008576066400000002
1711270800000,2024-03-24 09:00:00,LTC/BTC,0.0013349,0.0013349,0.0013349,0.0013349,0.0,0.0
1711267200000,2024-03-24 08:00:00,LTC/BTC,0.0013454,0.0013454,0.0013349,0.0013349,2.66071,0.003551781779
1711263600000,2024-03-24 07:00:00,LTC/BTC,0.0013721,0.0013721,0.0013454,0.0013454,1.26519,0.0017021866260000002
1711260000000,2024-03-24 06:00:00,LTC/BTC,0.0013721,0.0013721,0.0013721,0.0013721,0.0,0.0
1711256400000,2024-03-24 05:00:00,LTC/BTC,0.0013616,0.0013721,0.0013616,0.0013721,2.07844,0.002851827524
1711252800000,2024-03-24 04:00:00,LTC/BTC,0.0013589,0.0013616,0.0013589,0.0013616,2.12745,0.00289673592
1711249200000,2024-03-24 03:00:00,LTC/BTC,0.0013575,0.0013589,0.0013575,0.0013589,1.58527,0.002154223403
1711245600000,2024-03-24 02:00:00,LTC/BTC,0.0013502,0.0013575,0.0013502,0.0013575,0.29955,0.00040663912499999997
1711242000000,2024-03-24 01:00:00,LTC/BTC,0.0013329,0.0013502,0.0013329,0.0013502,1.34976,0.0018224459520000001
